Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","112","Bélarus","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","4445.014","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","112","Bélarus","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","5188.726","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","112","Bélarus","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","1931.795","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","112","Bélarus","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","7483.636","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","056","Belgique","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","11561.717","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","056","Belgique","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","5707.264","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","056","Belgique","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","5854.453","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","056","Belgique","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","223.197","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","056","Belgique","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 personnes","11396.775","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","084","Belize","511","Population totale","3010","Population-Estimations","2020","2020","1000 personnes","394.921","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","084","Belize","512","Hommes","3010","Population-Estimations","2020","2020","1000 personnes","198.81","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","084","Belize","513","Femmes","3010","Population-Estimations","2020","2020","1000 personnes","196.111","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","084","Belize","551","Population rurale","3010","Population-Estimations","2020","2020","1000 personnes","214.825","X","Ciffre de sources internationales",""
